sep=;
N;R;Theta;Z;|U|
194;22.1429;-45.0000;0.0000;7.985976996e-04
195;22.1429;-40.0000;0.0000;8.697371955e-04
196;22.1429;-35.0000;0.0000;9.469694566e-04
197;22.1429;-30.0000;0.0000;1.025435559e-03
198;22.1429;-25.0000;0.0000;1.102069740e-03
199;22.1429;-20.0000;0.0000;1.167749960e-03
200;22.1429;-15.0000;0.0000;1.225192915e-03
201;22.1429;-10.0000;0.0000;1.268053698e-03
202;22.1429;-5.0000;0.0000;1.290391769e-03
203;22.1429;0.0000;0.0000;1.304582620e-03
204;22.1429;5.0000;0.0000;1.290264496e-03
205;22.1429;10.0000;0.0000;1.268648716e-03
206;22.1429;15.0000;0.0000;1.225949548e-03
207;22.1429;20.0000;0.0000;1.168684655e-03
208;22.1429;25.0000;0.0000;1.103767557e-03
209;22.1429;30.0000;0.0000;1.026595737e-03
210;22.1429;35.0000;0.0000;9.483806667e-04
211;22.1429;40.0000;0.0000;8.711363008e-04
212;22.1429;45.0000;0.0000;8.000282315e-04
213;22.1429;50.0000;0.0000;7.406084508e-04
214;22.1429;55.0000;0.0000;7.032486584e-04
215;22.1429;60.0000;0.0000;6.835654174e-04
216;22.1429;65.0000;0.0000;6.812750219e-04
217;22.1429;70.0000;0.0000;6.864336935e-04
218;22.1429;75.0000;0.0000;6.945805685e-04
219;22.1429;80.0000;0.0000;7.039122285e-04
220;22.1429;85.0000;0.0000;7.002950635e-04
221;22.1429;90.0000;0.0000;6.897709000e-04
222;23.5714;-90.0000;0.0000;6.957701093e-04
223;23.5714;-85.0000;0.0000;6.983140222e-04
224;23.5714;-80.0000;0.0000;6.923845147e-04
225;23.5714;-75.0000;0.0000;6.787091437e-04
226;23.5714;-70.0000;0.0000;6.580650263e-04
227;23.5714;-65.0000;0.0000;6.459998513e-04
228;23.5714;-60.0000;0.0000;6.424497689e-04
229;23.5714;-55.0000;0.0000;6.548878110e-04
230;23.5714;-50.0000;0.0000;6.952412647e-04
231;23.5714;-45.0000;0.0000;7.584108897e-04
232;23.5714;-40.0000;0.0000;8.381004226e-04
233;23.5714;-35.0000;0.0000;9.226670816e-04
234;23.5714;-30.0000;0.0000;1.007715237e-03
235;23.5714;-25.0000;0.0000;1.088150761e-03
236;23.5714;-20.0000;0.0000;1.160297725e-03
237;23.5714;-15.0000;0.0000;1.221570743e-03
238;23.5714;-10.0000;0.0000;1.264534700e-03
239;23.5714;-5.0000;0.0000;1.291967491e-03
240;23.5714;0.0000;0.0000;1.305103181e-03
241;23.5714;5.0000;0.0000;1.292293772e-03
242;23.5714;10.0000;0.0000;1.265202859e-03
243;23.5714;15.0000;0.0000;1.222419372e-03
244;23.5714;20.0000;0.0000;1.161372797e-03
245;23.5714;25.0000;0.0000;1.089367818e-03
246;23.5714;30.0000;0.0000;1.009101149e-03
247;23.5714;35.0000;0.0000;9.242335221e-04
248;23.5714;40.0000;0.0000;8.399086552e-04
249;23.5714;45.0000;0.0000;7.600943691e-04
250;23.5714;50.0000;0.0000;6.966535263e-04
251;23.5714;55.0000;0.0000;6.556907745e-04
252;23.5714;60.0000;0.0000;6.427675292e-04
253;23.5714;65.0000;0.0000;6.460340117e-04
254;23.5714;70.0000;0.0000;6.576723292e-04
255;23.5714;75.0000;0.0000;6.785194923e-04
256;23.5714;80.0000;0.0000;6.914501974e-04
257;23.5714;85.0000;0.0000;6.973512917e-04
258;23.5714;90.0000;0.0000;6.962234148e-04
259;25.0000;-90.0000;0.0000;1.754163050e-04
260;25.0000;-85.0000;0.0000;2.938031381e-04
261;25.0000;-80.0000;0.0000;1.044265375e-04
262;25.0000;-75.0000;0.0000;1.563794749e-04
263;25.0000;-70.0000;0.0000;1.328353975e-04
264;25.0000;-65.0000;0.0000;1.795922457e-04
265;25.0000;-60.0000;0.0000;1.407571741e-04
266;25.0000;-55.0000;0.0000;8.733855367e-05
267;25.0000;-50.0000;0.0000;2.365602570e-04
268;25.0000;-45.0000;0.0000;1.746001279e-04
269;25.0000;-40.0000;0.0000;3.810999831e-04
270;25.0000;-35.0000;0.0000;2.806040395e-04
271;25.0000;-30.0000;0.0000;2.476523911e-04
272;25.0000;-25.0000;0.0000;6.237622771e-04
273;25.0000;-20.0000;0.0000;3.008589688e-04
